time stamp,Se usó YOLO?,FPS
2025-10-27_15-39-46,True,21.22344225962171
2025-10-27_15-40-12,True,30.62
2025-10-27_15-40-35,True,29.96
2025-10-27_15-41-25,True,29.52
2025-10-27_15-45-42,True,30.19
2025-10-27_15-46-19,True,21.42
2025-10-27_15-46-57,False,13.05
2025-10-27_15-47-38,False,29.46
2025-11-02_09-23-19,False,23.19
2025-11-02_09-27-07,False,17.44
2025-11-02_09-28-24,False,16.82
2025-11-02_09-29-39,False,22.35
2025-11-02_09-31-00,True,22.23
2025-11-02_09-32-00,True,36.38
2025-11-02_16-02-18,True,35.77
2025-11-02_16-05-24,True,36.09
2025-11-02_16-13-04,True,20.52
2025-11-02_16-16-19,True,35.53
2025-11-02_16-17-46,True,25.95
2025-11-02_16-44-55,True,
2025-11-02_16-45-15,True,36.86
2025-11-02_16-47-24,False,25.61
2025-11-02_16-49-03,True,35.21
2025-11-02_16-53-47,True,35.82
2025-11-02_16-55-50,False,46.59
2025-11-02_16-58-38,True,30.62
2025-11-02_17-32-10,True,27.96
2025-11-02_17-48-48,True,35.07
2025-11-02_18-53-46,True,35.02
2025-11-03_16-11-26,True,31.17
2025-11-03_16-28-01,True,30.71
2025-11-03_16-49-01,True,31.11
2025-11-03_16-51-27,True,31.61
2025-11-04_10-28-29,True,31.54
2025-11-04_10-30-06,True,30.57
2025-11-04_10-43-57,True,32.24
2025-11-04_10-56-33,True,31.61
2025-11-04_11-57-45,True,30.21
2025-11-04_12-35-18,True,27.81
2025-11-04_12-36-29,True,30.95
2025-11-04_12-40-16,True,31.8
2025-11-04_12-43-18,True,26.69
2025-11-04_12-45-32,True,26.34
2025-11-04_15-49-52,True,29.07
2025-11-04_15-54-51,True,30.5
2025-11-04_15-57-43,True,35.97
2025-11-04_17-49-48,True,15.82
2025-11-04_17-50-46,True,14.36
2025-11-04_18-22-37,True,10.39
2025-11-04_18-25-29,False,16.16
2025-11-04_18-29-27,True,4.02
2025-11-04_18-45-12,True,7.8
2025-11-04_19-03-18,True,23.1
